ID_Producto,Codigo_Producto,Nombre_Producto,Categoria,Subcategoria,Color,Talla,Peso_Libras,Unidad_Medida,Linea_Producto,Clase_Producto,Estilo,Costo_Estandar,Precio_Lista,Margen_Bruto_$,Margen_Bruto_%,Stock_Actual,Valor_Inventario_Costo,Valor_Inventario_Precio_Lista,Ubicaciones_Disponibles,Estado_Inventario,Tipo_Adquisicion,Dias_Fabricacion,Punto_Reorden,Stock_Seguridad,Total_Ordenes_Historicas,Unidades_Vendidas_Historicas,Precio_Promedio_Vendido,Precio_Minimo_Vendido,Precio_Maximo_Vendido,Ingresos_Totales_Historicos,Descuento_Promedio_Historico_%,Descuento_Maximo_Historico_%,Descuento_Minimo_Sugerido_%,Descuento_Maximo_Sugerido_%,Indice_Rotacion,Dias_Desde_Ultima_Venta,Fecha_Inicio_Venta,Fecha_Fin_Venta,Fecha_Descontinuado,Primera_Venta_Real,Ultima_Venta_Real,Clasificacion_Ventas,Clasificacion_Margen,Precio_Con_Descuento_Minimo,Precio_Con_Descuento_Maximo,Rentabilidad_Unitaria_Min,Rentabilidad_Unitaria_Max,Potencial_Ingresos_Stock_Actual,Score_Prioridad_Venta
957,BK-T79Y-60,"Touring-1000 Yellow, 60",Bikes,Touring Bikes,Yellow,60,25.9,Centimeter,T ,H ,U ,1481.9379,2384.07,902.13,37.84,151,223772.62,359994.57,2,Stock_Medio,Fabricado_Interno,4,75,100,433,1114,1659.38,953.63,2384.07,1518133.1,3.33,20.0,11.35,26.49,7,4178.0,2013-05-30,,,2013-05-30,2014-05-25,Estrella,Margen_Medio,2113.48,1752.53,631.54,270.59,359994.57,24.5
954,BK-T79Y-46,"Touring-1000 Yellow, 46",Bikes,Touring Bikes,Yellow,46,25.13,Centimeter,T ,H ,U ,1481.9379,2384.07,902.13,37.84,148,219326.81,352842.36,2,Stock_Medio,Fabricado_Interno,4,75,100,440,1005,1726.61,953.63,2384.07,1426372.87,3.21,20.0,11.35,26.49,6,4173.0,2013-05-30,,,2013-05-30,2014-05-30,Estrella,Margen_Medio,2113.48,1752.53,631.54,270.59,352842.36,21.5
795,BK-R89B-52,"Road-250 Black, 52",Bikes,Road Bikes,Black,52,15.42,Centimeter,R ,H ,U ,1554.9479,2443.35,888.4,36.36,188,292330.21,459349.8,2,Stock_Medio,Fabricado_Interno,4,75,100,424,777,1880.1,1308.94,2443.35,1298640.53,0.0,0.0,10.91,25.45,4,4176.0,2012-05-30,,,2013-01-04,2014-05-27,Estrella,Margen_Medio,2176.78,1821.52,621.83,266.57,459349.8,15.13
974,BK-R79Y-42,"Road-350-W Yellow, 42",Bikes,Road Bikes,Yellow,42,15.77,Centimeter,R ,M ,W ,1082.51,1700.99,618.48,36.36,148,160211.48,251746.52,2,Stock_Medio,Fabricado_Interno,4,75,100,455,944,1371.67,935.54,1700.99,1120066.36,0.01,5.0,10.91,25.45,6,4174.0,2013-05-30,,,2013-05-30,2014-05-29,Estrella,Margen_Medio,1515.41,1268.09,432.9,185.58,251746.52,21.06
967,BK-T79U-50,"Touring-1000 Blue, 50",Bikes,Touring Bikes,Blue,50,25.42,Centimeter,T ,H ,U ,1481.9379,2384.07,902.13,37.84,148,219326.81,352842.36,2,Stock_Medio,Fabricado_Interno,4,75,100,336,649,1856.17,1430.44,2384.07,1071401.06,0.0,0.0,11.35,26.49,4,4173.0,2013-05-30,,,2013-05-30,2014-05-30,Estrella,Margen_Medio,2113.48,1752.53,631.54,270.59,352842.36,15.5
796,BK-R89B-58,"Road-250 Black, 58",Bikes,Road Bikes,Black,58,15.68,Centimeter,R ,H ,U ,1554.9479,2443.35,888.4,36.36,148,230132.29,361615.8,2,Stock_Medio,Fabricado_Interno,4,75,100,328,597,1959.2,1308.94,2443.35,1024252.32,0.0,0.0,10.91,25.45,4,4175.0,2012-05-30,,,2013-01-01,2014-05-28,Estrella,Margen_Medio,2176.78,1821.52,621.83,266.57,361615.8,15.05
792,BK-R89R-58,"Road-250 Red, 58",Bikes,Road Bikes,Red,58,15.79,Centimeter,R ,H ,U ,1554.9479,2443.35,888.4,36.36,227,352973.17,554640.45,2,Stock_Alto,Fabricado_Interno,4,75,100,329,595,1957.81,1308.94,2443.35,1021983.5,0.0,0.0,10.91,25.45,2,4174.0,2012-05-30,,,2013-01-03,2014-05-29,Estrella,Margen_Medio,2176.78,1821.52,621.83,266.57,554640.45,9.21
955,BK-T79Y-50,"Touring-1000 Yellow, 50",Bikes,Touring Bikes,Yellow,50,25.42,Centimeter,T ,H ,U ,1481.9379,2384.07,902.13,37.84,137,203025.49,326617.59,2,Stock_Medio,Fabricado_Interno,4,75,100,342,652,1780.38,953.63,2384.07,981187.85,2.98,20.0,11.35,26.49,4,4178.0,2013-05-30,,,2013-05-30,2014-05-25,Estrella,Margen_Medio,2113.48,1752.53,631.54,270.59,326617.59,15.47
801,BK-R64Y-48,"Road-550-W Yellow, 48",Bikes,Road Bikes,Yellow,48,18.68,Centimeter,R ,M ,W ,713.0798,1120.49,407.41,36.36,134,95552.69,150145.66,2,Stock_Medio,Fabricado_Interno,4,75,100,542,1190,841.18,580.25,1120.49,877644.67,0.01,2.0,10.91,25.45,8,4174.0,2012-05-30,,,2013-01-05,2014-05-29,Estrella,Margen_Medio,998.24,835.33,285.16,122.25,150145.66,27.03
797,BK-R64Y-38,"Road-550-W Yellow, 38",Bikes,Road Bikes,Yellow,38,17.35,Centimeter,R ,M ,W ,713.0798,1120.49,407.41,36.36,148,105535.81,165832.52,2,Stock_Medio,Fabricado_Interno,4,75,100,543,1177,851.78,600.26,1120.49,876283.11,0.0,2.0,10.91,25.45,7,4175.0,2012-05-30,,,2013-01-13,2014-05-28,Estrella,Margen_Medio,998.24,835.33,285.16,122.25,165832.52,24.05
972,BK-T44U-54,"Touring-2000 Blue, 54",Bikes,Touring Bikes,Blue,54,27.68,Centimeter,T ,M ,U ,755.1508,1214.85,459.7,37.83,129,97414.45,156715.65,2,Stock_Medio,Fabricado_Interno,4,75,100,380,1010,840.61,668.17,1214.85,772302.01,0.06,5.0,11.35,26.48,7,4173.0,2013-05-30,,,2013-05-30,2014-05-30,Estrella,Margen_Medio,1076.96,893.16,321.81,138.01,156715.65,24.46
798,BK-R64Y-40,"Road-550-W Yellow, 40",Bikes,Road Bikes,Yellow,40,17.77,Centimeter,R ,M ,W ,713.0798,1120.49,407.41,36.36,133,94839.61,149025.17,2,Stock_Medio,Fabricado_Interno,4,75,100,501,990,859.86,600.26,1120.49,750351.43,0.0,2.0,10.91,25.45,7,4173.0,2012-05-30,,,2013-01-01,2014-05-30,Estrella,Margen_Medio,998.24,835.33,285.16,122.25,149025.17,24.03
968,BK-T79U-54,"Touring-1000 Blue, 54",Bikes,Touring Bikes,Blue,54,25.68,Centimeter,T ,H ,U ,1481.9379,2384.07,902.13,37.84,133,197097.74,317081.31,2,Stock_Medio,Fabricado_Interno,4,75,100,277,413,1981.27,1430.44,2384.07,743353.03,0.0,0.0,11.35,26.49,3,4174.0,2013-05-30,,,2013-05-30,2014-05-29,Estrella,Margen_Medio,2113.48,1752.53,631.54,270.59,317081.31,12.47
975,BK-R79Y-44,"Road-350-W Yellow, 44",Bikes,Road Bikes,Yellow,44,16.13,Centimeter,R ,M ,W ,1082.51,1700.99,618.48,36.36,133,143973.83,226231.67,2,Stock_Medio,Fabricado_Interno,4,75,100,332,536,1463.26,1020.59,1700.99,694003.92,0.0,0.0,10.91,25.45,4,4174.0,2013-05-30,,,2013-05-30,2014-05-29,Estrella,Margen_Medio,1515.41,1268.09,432.9,185.58,226231.67,15.03
799,BK-R64Y-42,"Road-550-W Yellow, 42",Bikes,Road Bikes,Yellow,42,18.13,Centimeter,R ,M ,W ,713.0798,1120.49,407.41,36.36,227,161869.11,254351.23,2,Stock_Alto,Fabricado_Interno,4,75,100,488,860,902.69,600.26,1120.49,683330.83,0.0,0.0,10.91,25.45,3,4175.0,2012-05-30,,,2013-01-05,2014-05-28,Estrella,Margen_Medio,998.24,835.33,285.16,122.25,254351.23,12.21
956,BK-T79Y-54,"Touring-1000 Yellow, 54",Bikes,Touring Bikes,Yellow,54,25.68,Centimeter,T ,H ,U ,1481.9379,2384.07,902.13,37.84,75,111145.34,178805.25,2,Stock_Medio,Fabricado_Interno,4,75,100,271,397,1917.81,953.63,2384.07,667158.15,2.87,20.0,11.35,26.49,5,4174.0,2013-05-30,,,2013-05-30,2014-05-29,Alta_Demanda_Bajo_Stock,Margen_Medio,2113.48,1752.53,631.54,270.59,178805.25,18.35
953,BK-T44U-60,"Touring-2000 Blue, 60",Bikes,Touring Bikes,Blue,60,27.9,Centimeter,T ,M ,U ,755.1508,1214.85,459.7,37.83,165,124599.88,200450.25,2,Stock_Medio,Fabricado_Interno,4,75,100,346,820,842.46,704.61,1214.85,635723.72,0.01,2.0,11.35,26.48,4,4173.0,2013-05-30,,,2013-05-30,2014-05-30,Estrella,Margen_Medio,1076.96,893.16,321.81,138.01,200450.25,15.53
998,BK-R19B-48,"Road-750 Black, 48",Bikes,Road Bikes,Black,48,20.13,Centimeter,R ,L ,U ,343.6496,539.99,196.34,36.36,155,53265.69,83698.45,2,Stock_Medio,Fabricado_Interno,4,75,100,685,1556,438.2,296.99,539.99,578174.31,0.04,5.0,10.91,25.45,10,4173.0,2013-05-30,,,2013-05-30,2014-05-30,Estrella,Margen_Medio,481.08,402.56,137.43,58.91,83698.45,33.07
800,BK-R64Y-44,"Road-550-W Yellow, 44",Bikes,Road Bikes,Yellow,44,18.42,Centimeter,R ,M ,W ,713.0798,1120.49,407.41,36.36,129,91987.29,144543.21,2,Stock_Medio,Fabricado_Interno,4,75,100,387,658,947.52,600.26,1120.49,543549.7,0.0,0.0,10.91,25.45,5,4174.0,2012-05-30,,,2013-01-02,2014-05-29,Estrella,Margen_Medio,998.24,835.33,285.16,122.25,144543.21,18.02
748,FR-M94S-38,"HL Mountain Frame - Silver, 38",Components,Mountain Frames,Silver,38,2.68,Centimeter,M ,H ,U ,747.2002,1364.5,617.3,45.24,738,551433.75,1007001.0,6,Stock_Alto,Fabricado_Interno,2,375,500,258,673,798.98,744.27,818.7,538007.01,0.0,2.0,13.57,31.67,0,4202.0,2011-05-31,,,2013-01-28,2014-05-01,Estrella,Margen_Medio,1179.34,932.36,432.14,185.16,1007001.0,6.84
743,FR-M94B-42,"HL Mountain Frame - Black, 42",Components,Mountain Frames,Black,42,2.72,Centimeter,M ,H ,U ,739.041,1349.6,610.56,45.23,0,0.0,0.0,0,Sin_Stock,Fabricado_Interno,1,375,500,253,652,789.97,736.15,809.76,515964.36,0.0,0.0,13.57,31.66,0,4202.0,2011-05-31,,,2013-01-28,2014-05-01,Alta_Demanda_Bajo_Stock,Margen_Medio,1166.46,922.32,427.42,183.28,0.0,5.36
999,BK-R19B-52,"Road-750 Black, 52",Bikes,Road Bikes,Black,52,20.42,Centimeter,R ,L ,U ,343.6496,539.99,196.34,36.36,194,66668.02,104758.06,2,Stock_Medio,Fabricado_Interno,4,75,100,696,1338,443.69,313.19,539.99,515666.91,0.01,2.0,10.91,25.45,6,4173.0,2013-05-30,,,2013-05-30,2014-05-30,Estrella,Margen_Medio,481.08,402.56,137.43,58.91,104758.06,21.15
970,BK-T44U-46,"Touring-2000 Blue, 46",Bikes,Touring Bikes,Blue,46,27.13,Centimeter,T ,M ,U ,755.1508,1214.85,459.7,37.83,133,100435.06,161575.05,2,Stock_Medio,Fabricado_Interno,4,75,100,283,538,895.38,704.61,1214.85,438867.48,0.0,2.0,11.35,26.48,4,4174.0,2013-05-30,,,2013-05-30,2014-05-29,Estrella,Margen_Medio,1076.96,893.16,321.81,138.01,161575.05,15.47
977,BK-R19B-58,"Road-750 Black, 58",Bikes,Road Bikes,Black,58,20.79,Centimeter,R ,L ,U ,343.6496,539.99,196.34,36.36,153,52578.39,82618.47,2,Stock_Medio,Fabricado_Interno,4,75,100,537,892,458.34,323.99,539.99,361145.31,0.0,0.0,10.91,25.45,5,4173.0,2013-05-30,,,2013-05-30,2014-05-30,Estrella,Margen_Medio,481.08,402.56,137.43,58.91,82618.47,18.07
961,BK-T18Y-44,"Touring-3000 Yellow, 44",Bikes,Touring Bikes,Yellow,44,28.77,Centimeter,T ,L ,U ,461.4448,742.35,280.91,37.83,168,77522.73,124714.8,2,Stock_Medio,Fabricado_Interno,4,75,100,318,851,476.55,334.06,742.35,358121.89,3.22,15.0,11.35,26.48,5,4173.0,2013-05-30,,,2013-05-30,2014-05-30,Estrella,Margen_Medio,658.09,545.78,196.65,84.34,124714.8,18.54
965,BK-T18Y-62,"Touring-3000 Yellow, 62",Bikes,Touring Bikes,Yellow,62,30.0,Centimeter,T ,L ,U ,461.4448,742.35,280.91,37.83,163,75215.5,121003.05,2,Stock_Medio,Fabricado_Interno,4,75,100,319,844,467.73,334.06,742.35,351547.71,3.26,15.0,11.35,26.48,5,4175.0,2013-05-30,,,2013-05-30,2014-05-28,Estrella,Margen_Medio,658.09,545.78,196.65,84.34,121003.05,18.52
979,BK-T18U-50,"Touring-3000 Blue, 50",Bikes,Touring Bikes,Blue,50,29.13,Centimeter,T ,L ,U ,461.4448,742.35,280.91,37.83,164,75676.95,121745.4,2,Stock_Medio,Fabricado_Interno,4,75,100,306,841,467.32,334.06,742.35,348581.5,3.32,15.0,11.35,26.48,5,4178.0,2013-05-30,,,2013-05-30,2014-05-25,Estrella,Margen_Medio,658.09,545.78,196.65,84.34,121745.4,18.52
892,FR-T98U-54,"HL Touring Frame - Blue, 54",Components,Touring Frames,Blue,54,3.04,Centimeter,T ,H ,U ,601.7437,1003.91,402.17,40.05,0,0.0,0.0,0,Sin_Stock,Fabricado_Interno,1,375,500,169,542,601.93,552.15,602.35,324333.1,0.04,5.0,12.02,28.04,0,4202.0,2013-05-30,,,2013-05-30,2014-05-01,Alta_Demanda_Bajo_Stock,Margen_Medio,883.24,722.41,281.5,120.67,0.0,3.81
981,BK-M38S-40,"Mountain-400-W Silver, 40",Bikes,Mountain Bikes,Silver,40,26.77,Centimeter,M ,M ,W ,419.7784,769.49,349.71,45.44,153,64226.1,117731.97,2,Stock_Medio,Fabricado_Interno,4,75,100,301,617,592.48,446.3,769.49,323703.82,0.01,2.0,13.63,31.81,4,4177.0,2013-05-30,,,2013-05-30,2014-05-26,Estrella,Margen_Medio,664.61,524.72,244.83,104.94,117731.97,17.78
889,FR-T98Y-54,"HL Touring Frame - Yellow, 54",Components,Touring Frames,Yellow,54,3.04,Centimeter,T ,H ,U ,601.7437,1003.91,402.17,40.05,0,0.0,0.0,0,Sin_Stock,Fabricado_Interno,1,375,500,161,540,601.72,582.27,602.35,323268.26,0.06,2.0,12.02,28.04,0,4202.0,2013-05-30,,,2013-05-30,2014-05-01,Alta_Demanda_Bajo_Stock,Margen_Medio,883.24,722.41,281.5,120.67,0.0,3.81
835,FR-R72Y-44,"ML Road Frame-W - Yellow, 44",Components,Road Frames,Yellow,44,2.3,Centimeter,R ,M ,W ,360.9428,594.83,233.89,39.32,0,0.0,0.0,0,Sin_Stock,Fabricado_Interno,1,375,500,310,872,348.01,324.45,356.9,303255.82,0.01,5.0,11.8,27.52,0,4202.0,2012-05-30,,,2013-01-28,2014-05-01,Alta_Demanda_Bajo_Stock,Margen_Medio,524.64,431.13,163.7,70.19,0.0,3.59
962,BK-T18Y-50,"Touring-3000 Yellow, 50",Bikes,Touring Bikes,Yellow,50,29.13,Centimeter,T ,L ,U ,461.4448,742.35,280.91,37.83,174,80291.4,129168.9,2,Stock_Medio,Fabricado_Interno,4,75,100,280,686,484.91,334.06,742.35,291747.26,3.1,15.0,11.35,26.48,3,4174.0,2013-05-30,,,2013-05-30,2014-05-29,Estrella,Margen_Medio,658.09,545.78,196.65,84.34,129168.9,12.55
997,BK-R19B-44,"Road-750 Black, 44",Bikes,Road Bikes,Black,44,19.77,Centimeter,R ,L ,U ,343.6496,539.99,196.34,36.36,153,52578.39,82618.47,2,Stock_Medio,Fabricado_Interno,4,75,100,466,656,490.86,323.99,539.99,290298.62,0.0,0.0,10.91,25.45,4,4173.0,2013-05-30,,,2013-05-30,2014-05-30,Estrella,Margen_Medio,481.08,402.56,137.43,58.91,82618.47,15.07
958,BK-T18U-54,"Touring-3000 Blue, 54",Bikes,Touring Bikes,Blue,54,29.68,Centimeter,T ,L ,U ,461.4448,742.35,280.91,37.83,163,75215.5,121003.05,2,Stock_Medio,Fabricado_Interno,4,75,100,281,686,480.55,334.06,742.35,290075.12,3.09,15.0,11.35,26.48,4,4184.0,2013-05-30,,,2013-05-30,2014-05-19,Estrella,Margen_Medio,658.09,545.78,196.65,84.34,121003.05,15.51
971,BK-T44U-50,"Touring-2000 Blue, 50",Bikes,Touring Bikes,Blue,50,27.42,Centimeter,T ,M ,U ,755.1508,1214.85,459.7,37.83,227,171419.23,275770.95,2,Stock_Alto,Fabricado_Interno,4,75,100,198,322,989.06,728.91,1214.85,286218.66,0.0,0.0,11.35,26.48,1,4174.0,2013-05-30,,,2013-05-30,2014-05-29,Estrella,Margen_Medio,1076.96,893.16,321.81,138.01,275770.95,6.65
742,FR-M94S-46,"HL Mountain Frame - Silver, 46",Components,Mountain Frames,Silver,46,2.84,Centimeter,M ,H ,U ,747.2002,1364.5,617.3,45.24,0,0.0,0.0,0,Sin_Stock,Fabricado_Interno,1,375,500,143,351,799.96,744.27,818.7,280516.39,0.0,0.0,13.57,31.67,0,4202.0,2011-05-31,,,2013-01-28,2014-05-01,Alta_Demanda_Bajo_Stock,Margen_Medio,1179.34,932.36,432.14,185.16,0.0,5.37
747,FR-M94B-38,"HL Mountain Frame - Black, 38",Components,Mountain Frames,Black,38,2.68,Centimeter,M ,H ,U ,739.041,1349.6,610.56,45.23,834,616360.19,1125566.4,6,Stock_Alto,Fabricado_Interno,2,375,500,141,351,790.96,736.15,809.76,277821.3,0.0,0.0,13.57,31.66,0,4202.0,2011-05-31,,,2013-01-28,2014-05-01,Estrella,Margen_Medio,1166.46,922.32,427.42,183.28,1125566.4,7.03
980,BK-M38S-38,"Mountain-400-W Silver, 38",Bikes,Mountain Bikes,Silver,38,26.35,Centimeter,M ,M ,W ,419.7784,769.49,349.71,45.44,150,62966.76,115423.5,2,Stock_Medio,Fabricado_Interno,4,75,100,253,425,641.75,461.69,769.49,241773.76,0.0,0.0,13.63,31.81,2,4174.0,2013-05-30,,,2013-05-30,2014-05-29,Estrella,Margen_Medio,664.61,524.72,244.83,104.94,115423.5,11.78
876,RA-H123,Hitch Rack - 4-Bike,Accessories,Bike Racks,,,,,S ,,,44.88,120.0,75.12,62.6,0,0.0,0.0,1,Sin_Stock,Comprado_Externo,0,3,4,796,3166,91.46,60.0,120.0,237096.16,0.26,10.0,18.78,43.82,0,4142.0,2013-05-30,,,2013-05-30,2014-06-30,Alta_Demanda_Bajo_Stock,Margen_Alto,97.46,67.42,52.58,22.54,0.0,10.7
885,FR-T98Y-60,"HL Touring Frame - Yellow, 60",Components,Touring Frames,Yellow,60,3.08,Centimeter,T ,H ,U ,601.7437,1003.91,402.17,40.05,0,0.0,0.0,0,Sin_Stock,Fabricado_Interno,1,375,500,135,387,602.05,582.27,602.35,232378.26,0.02,2.0,12.02,28.04,0,4202.0,2013-05-30,,,2013-05-30,2014-05-01,Alta_Demanda_Bajo_Stock,Margen_Medio,883.24,722.41,281.5,120.67,0.0,3.81
983,BK-M38S-46,"Mountain-400-W Silver, 46",Bikes,Mountain Bikes,Silver,46,27.42,Centimeter,M ,M ,W ,419.7784,769.49,349.71,45.44,164,68843.66,126196.36,2,Stock_Medio,Fabricado_Interno,4,75,100,239,401,639.35,446.3,769.49,227347.67,0.0,2.0,13.63,31.81,2,4177.0,2013-05-30,,,2013-05-30,2014-05-26,Estrella,Margen_Medio,664.61,524.72,244.83,104.94,126196.36,11.81
838,FR-R92B-44,"HL Road Frame - Black, 44",Components,Road Frames,Black,44,2.12,Centimeter,R ,H ,U ,868.6342,1431.5,562.87,39.32,0,0.0,0.0,0,Sin_Stock,Fabricado_Interno,1,375,500,120,265,843.93,780.82,858.9,223548.25,0.0,0.0,11.8,27.52,0,4202.0,2012-05-30,,,2013-02-28,2014-05-01,Alta_Demanda_Bajo_Stock,Margen_Medio,1262.58,1037.55,393.95,168.92,0.0,3.59
893,FR-T98U-60,"HL Touring Frame - Blue, 60",Components,Touring Frames,Blue,60,3.08,Centimeter,T ,H ,U ,601.7437,1003.91,402.17,40.05,0,0.0,0.0,0,Sin_Stock,Fabricado_Interno,1,375,500,140,371,601.84,552.15,602.35,221720.95,0.05,5.0,12.02,28.04,0,4202.0,2013-05-30,,,2013-05-30,2014-05-01,Alta_Demanda_Bajo_Stock,Margen_Medio,883.24,722.41,281.5,120.67,0.0,3.81
